Sale Completed Date,Customer Company,Customer Type,Item Description,Sale Completed Time,Sale Line Quantity Sold,Sale Line  Total 
01-10-2024,R1609A,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 04:53,1,7.2
01-10-2024,Y1537,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 04:57,1,7.2
01-10-2024,W1884,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 05:00,1,7.2
01-10-2024,S0953,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 05:30,1,7.2
01-10-2024,T2768,TLTC,Wilson U.S. Open Extra Duty,01-10-2024 06:06,1,7.2
01-10-2024,R1888,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 06:57,1,7.2
01-10-2024,W0845,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 07:06,1,7.2
01-10-2024,L0948,TLTC,Head Radical Pro 2023 Orange/Blue (L2),01-10-2024 10:44,1,299
01-10-2024,L0948,TLTC,1/2 Set Fusion Ecoplay 1.25,01-10-2024 10:44,1,10.5
01-10-2024,L0948,TLTC,Tennis Labour,01-10-2024 10:44,1,25
01-10-2024,L0948,TLTC,1/2 Set Wilson NXT Natural 1.30,01-10-2024 10:44,1,17.5
01-10-2024,L0187,TLTC,M Head Revolt Pro 4.5 - White/Blue  (US 10),01-10-2024 11:31,1,179.95
01-10-2024,L2813,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 11:33,1,7.2
01-10-2024,M1248A,TLTC,Wilson U.S. Open Extra Duty,01-10-2024 11:34,1,7.2
01-10-2024,S1468,TLTC,1/2 Set Head Lynx Tour Grey 1.30,01-10-2024 11:35,2,30
01-10-2024,S1468,TLTC,Tennis Labour,01-10-2024 11:35,2,50
01-10-2024,S1468,TLTC,1/2 Set Luxilon Element Rose Gold 1.25,01-10-2024 11:35,2,38
01-10-2024,A1989A,TLTC,Wilson Roland Garros,01-10-2024 11:36,1,7.2
01-10-2024,M2752,TLTC,Bottleworx TLTC Water Bottle,01-10-2024 12:11,1,42
01-10-2024,L2832,TLTC,"M Nike DF Victory Short 7"" - WH/BK (M)",01-10-2024 12:16,1,64
01-10-2024,A1989A,TLTC,Tennis Labour,01-10-2024 12:40,1,25
01-10-2024,A1989A,TLTC,1/2 Set Head Velocity MLT Natural 1.30,01-10-2024 12:40,2,24
01-10-2024,H0394,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 12:44,1,7.2
01-10-2024,B1949C,TLTC,Head Lynx Tour Full Set Champagne 1.30,01-10-2024 12:44,1,30
01-10-2024,B1949C,TLTC,Tennis Labour,01-10-2024 12:44,1,25
01-10-2024,P1056,TLTC,Squash Ball Singles,01-10-2024 12:48,1,7
01-10-2024,S2629A,TLTC,Tennis Labour,01-10-2024 12:48,1,25
01-10-2024,S2629A,TLTC,1/2 Set Head Velocity MLT Natural 1.30,01-10-2024 12:48,2,24
01-10-2024,I1582,TLTC,Tennis Labour,01-10-2024 12:50,2,50
01-10-2024,I1582,TLTC,1/2 Set Babolat Syn Gut  Natural 1.30,01-10-2024 12:50,4,30
01-10-2024,K2781,TLTC,1/2 Set Fusion Ecoplay 1.25,01-10-2024 12:52,1,10.5
01-10-2024,K2781,TLTC,1/2 Set Babolat VS Touch  Natural 1.30,01-10-2024 12:52,1,35
01-10-2024,K2781,TLTC,Tennis Labour,01-10-2024 12:52,1,25
01-10-2024,A1989A,TLTC,Tennis Labour,01-10-2024 12:57,1,25
01-10-2024,A1989A,TLTC,1/2 Set Head Velocity MLT Natural 1.30,01-10-2024 12:57,2,24
01-10-2024,P2821,TLTC,Wilson U.S. Open Extra Duty,01-10-2024 13:05,1,7.2
01-10-2024,W2781B,TLTC,Head Raptor Eye Guard,01-10-2024 13:10,1,45
01-10-2024,C3005,TLTC,,01-10-2024 13:13,1,60
01-10-2024,T0629,TLTC,Wilson U.S. Open Regular Duty,01-10-2024 13:27,1,7.2
01-10-2024,B0266,TLTC,Tennis Labour,01-10-2024 14:12,1,25
01-10-2024,B0266,TLTC,1/2 Set Head Hawk Power Petrol 1.25,01-10-2024 14:12,1,15.5
